;created_at;favorite_count;id_str;is_retweet;retweet_count;source;text;sentiment
1660;Mon Aug 03 18:14:53 +0000 2015;1214.0;628267812990029824;0.0;742.0;"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>";LIVE: President Obama is speaking about fighting climate change with the Clean Power Plan. http://t.co/7Oc50aI2Hh #ActOnClimate;0.0516
1661;Mon Aug 03 17:05:01 +0000 2015;914.0;628250229024821248;0.0;415.0;"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>";Tune in at 2:15 p.m. ET to watch President Obama discuss the importance of the Clean Power Plan: http://t.co/7Oc50aI2Hh #ActOnClimate;0.6369
1662;Mon Aug 03 16:00:50 +0000 2015;8098.0;628234076214800384;0.0;4889.0;"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>";Celebrate President Obama's birthday by wishing him a happy 54th: http://t.co/pHqzMNujF7 #44Turns54 http://t.co/IqnRnAraM8;0.8519
1663;Sun Aug 02 19:54:43 +0000 2015;0.0;627930546233081856;0.0;8080.0;"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>";"RT @WhiteHouse: BREAKING: On Monday, @POTUS will release his #CleanPowerPlan—the biggest step we've ever taken to #ActOnClimate.
https://t.…";0.0
1664;Sun Aug 02 18:50:43 +0000 2015;3148.0;627914442227888128;0.0;984.0;"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>";Guess who has a birthday coming up? (Hint: It's #44.) http://t.co/3YdVzP2R5M http://t.co/GKsWzH4T0T;0.0
1665;Sat Aug 01 23:00:37 +0000 2015;2178.0;627614942208770048;0.0;748.0;"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>";"""This week ... Medicare and Medicaid turned 50 years old. And that’s something worth celebrating."" —President Obama http://t.co/SZ9Yn5PxjP";0.2263
1666;Sat Aug 01 17:55:28 +0000 2015;1183.0;627538148575219712;0.0;520.0;"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>";In the weekly address, President Obama discusses the impact of Medicare and Medicaid on the 50th anniversary: http://t.co/SZ9Yn5PxjP;0.0
1667;Sat Aug 01 16:19:18 +0000 2015;6038.0;627513948900737024;0.0;2725.0;"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>";"To: President Obama
Happy 54th!
From: You

Wish the Commander-in-Chief a happy birthday: http://t.co/uwpjBtuiQx http://t.co/WTs36BCjkE";0.8858
1668;Fri Jul 31 19:43:19 +0000 2015;1928.0;627202902201753600;0.0;600.0;"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>";Tell the Organizer-in-Chief happy birthday—sign @OFA's card: http://t.co/ZdPdn9EEnG #44Turns54;0.5719
1669;Fri Jul 31 17:27:16 +0000 2015;854.0;627168662546350080;0.0;335.0;"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>";Across the country, @OFA volunteers are making a difference in the fight to #RaiseTheWage: http://t.co/ENbPyryj60;-0.3818
